ADD
DEMONSTRATED
DEPENDED
DESCRIBED
DESTROYED
DICTATED
DIED
DUG
DISAGREED
DISCOVERED
DISCUSSED
DIVIDED
DID
DRAINED
DREW
DREAMED
DRESSED
DRANK
DROVE
DROPPED
DUSTED
ATE
EMPTIED
ENDED
ENJOYED
EXCUSED
EXERCISED
FADED
FAILED
FELL
FASTENED
FEARED
FED
FELT
FOUGHT
FILLED
FOUND
FINISHED
FISHED
FIT
FIXED
FLED
FLEW
FOLLOWED
FORBADE
FORGOT
FORGAVE
FROZE
FRIED
GOT
GAVE
WENT
GRADED
GRATED
GRILLED
GROUND
GREW
HANDED IN
HANDED OUT
HUNG
HAPPENED
HATED
HAD
HEARD
HELPED
HID
HIT
HELD
HURRIED
HURT
IDENTIFIED
IMAGINED
IMITATED
INCLUDED
INSPECTED
INVITED
JOGGED
JUMPED
KEPT
KICKED
KILLED
KISSED
KNEW
LANDED
LAUGHED
LAID
LED
LEARNED
LEFT
LENT
LET
LICKED
LAY
LIT
LIKED
LISTENED TO
LIVED
LOOKED
LOST
LOVED
LOWERED
MADE
MANAGED
MEANT
MET
MEMORIZED
MENDED
MINDED
MISLAYED
MISSED
MISTOOK
MIXED
MOPPED
MOVED
MULTIPLIED
NAMED
NEEDED
NOTICED
OCCURED
OFFERED
OMITTED
OPENED
ORDERED
OVERCAME
PACKED
PAINTED
PARKED
PASSED
PAID
PEELED
PERMITTED
PERSUADED
PICKED UP
PLACED
PLANNED
PLANTED
PLAYED
POLISHED
PRACTICED
PREFERRED
PREPARED
PRINTED
PROMISED
PRONOUNCED
PUBLISHED
PULLED
PUNISHED
PUSHED
PUT
QUIT
RAINED
REACHED
READ
RECEIVED
RELAXED
REMAINED
REMEMBERED
REPAIRED
REPEATED
REPRESENTED
RESTED
RID
RODE
RANG
ROSE
RAN
SAVED
SAID
SAW
SEEMED
SELECTED
SOLD
SENT
SET
SEWED
SHOOK
SHARED
SHARPENED
SHONE
SHOT
SHOPPED
SHOUTED
SHOWED
SHRANK
SHUT
SIGHED
SIGNED
SANG
SANK
SAT
SKATED
SLEPT
SLICED
SLID
SMELLED
SMILED
SMOKED
SNEEZED
SOLVED
SOUNDED
SPOKE
SPED
SPELLED
SPENT
SPILLED
SPUN
SPIT
SPLASHED
SPLIT
SPOILED
SPREAD
SQUEEZED
STOOD
STARTED
STAYED
STOLE
STANK
STIRRED
STOPPED
STRUCK
STROVE
STUDIED
SUBTRACTED
SUCKED
SUPPORTED
SUPPOSED
SURROUNDED
SWORE
SWEPT
SWAM
SWUNG
TOOK
TALKED
TASTED
TAUGHT
TORE
TOLD
THOUGHT
THREW
TRUSTED
TOUCHED
TRANSLATED
TRAVELED
TRIED
TURNED
TYPED
UNDERLINED
UNDERSTOOD
UNDERTOOK
UPSET
USED
VACUUMED
VANISHED
VISITED
WAITED FOR
WOKE
WALKED
WANTED
WARMED
WASHED
WATCHED
WAVED
WORE
WED
WEPT
WEIGHED
WHISTLED
WON
WISHED
WITHDREW
WONDERED
WORKED
WORRIED
WRAPPED
WRUNG
WROTE
YAWNED
ADDED
ADVANCED
APPEARED
AGREED
ANSWERED
ABSORBED
ARISEN
ARRIVED
ASKED
ASSIGNED
ASSISTED
ATTACHED
ATTENDED
AWOKE
AWARDED
BAKED
BATHED
BEEN
BORN
BEATEN
BECOME
BEGUN
BELIEVED
BELONGED
BENT
BET
BID
BOUND
BITTEN
BLED
BLOWN
BLUSHED
BOILED
BORROWED
BOTHERED
BROKEN
BRED
BROADCAST
BROWN
BRUSHED
BUILT
BURNED
BURST
BOUGHT
CALLED
CAMPED
CANCELLED
CARED
CARRIED
CAUGHT
CELEBRATED
CHANGED
CHARGED
CHECKED
CHEWED
CHILLED
CHOSEN
CIRCLED
CLAPPED
CLEANED
CLIMBED
CLUNG
CLOSED
COLLECTED
COME
COMMENTED
COMPLAINED
COMPLETED
CONTINUED
CONVINCED
COOKED
COOLED
COPIED
COST
COUNTED
COVERED
CROSSED
CRIED
CUT
DANCED
DEALT
DECIDED
DECLARED
DECORATED
DEMONSTRATED
DEPENDED
DESCRIBED
DESTROYED
DICTATED
DIED
DUG
DISAGREED
DISCOVERED
DISCUSSED
DIVIDED
DONE
DRAINED
DRAWN
DREAMED
DRESSED
DRUNK
DRIVEN
DROPPED
DUSTED
EATEN
EMPTIED
ENDED
ENJOYED
EXCUSED
EXERCISED
FADED
FAILED
FALLEN
FASTENED
FEARED
FED
FELT
FOUGHT
FILLED
FOUND
FINISHED
FISHED
FIT
FIXED
FLED
FLOWN
FOLLOWED
FORBIDDEN
FORGOTTEN
FORGIVEN
FROZEN
FRIED
GOTTEN
GIVEN
GONE
GRADED
GRATED
GRILLED
GROUND
GROWN
HANDED IN
HANDED OUT
HUNG
HAPPENED
HATED
HAD
HEARD
HELPED
HIDDEN
HIT
HELD
HURRIED
HURT
IDENTIFIED
IMAGINED
IMITATED
INCLUDED
INSPECTED
INVITED
JOGGED
JUMPED
KEPT
KICKED
KILLED
KISSED
KNOWN
LANDED
LAUGHED
LAID
LED
LEARNED
LEFT
LENT
LET
LICKED
LAIN
LIT
LIKED
LISTENED TO
LIVED
LOOKED
LOST
LOVED
LOWERED
MADE
MANAGED
MEANT
MET
MEMORIZED
MENDED
MINDED
MISLAYED
MISSED
MISTAKEN
MIXED
MOPPED
MOVED
MULTIPLIED
NAMED
NEEDED
NOTICED
OCCURED
OFFERED
OMITTED
OPENED
ORDERED
OVERCOME
PACKED
PAINTED
PARKED
PASSED
PAID
PEELED
PERMITTED
PERSUADED
PICKED UP
PLACED
PLANNED
PLANTED
PLAYED
POLISHED
PRACTICED
PREFERRED
PREPARED
PRINTED
PROMISED
PRONOUNCED
PUBLISHED
PULLED
PUNISHED
PUSHED
PUT
QUIT
RAINED
REACHED
READ
RECEIVED
RELAXED
REMAINED
REMEMBERED
REPAIRED
REPEATED
REPRESENTED
RESTED
RID
RIDDEN
RUNG
RISEN
RUN
SAVED
SAID
SEEN
SEEMED
SELECTED
SOLD
SENT
SET
SEWED
SHAKEN
SHARED
SHARPENED
SHONE
SHOT
SHOPPED
SHOUTED
SHOWN
SHRUNK
SHUT
SIGHED
SIGNED
SUNG
SUNK
SAT
SKATED
SLEPT
SLICED
SLID
SMELLED
SMILED
SMOKED
SNEEZED
SOLVED
SOUNDED
SPOKEN
SPED
SPELLED
SPENT
SPILLED
SPUN
SPIT
SPLASHED
SPLIT
SPOILED
SPREAD
SQUEEZED
STOOD
STARTED
STAYED
STOLEN
STUNK
STIRRED
STOPPED
STRUCK
STRIVEN
STUDIED
SUBTRACTED
SUCKED
SUPPORTED
SUPPOSED
SURROUNDED
SWORN
SWEPT
SWUM
SWUNG
TAKEN
TALKED
TASTED
TAUGHT
TORN
TOLD
THOUGHT
THROWN
TRUSTED
TOUCHED
TRANSLATED
TRAVELED
TRIED
TURNED
TYPED
UNDERLINED
UNDERSTOOD
UNDERTAKEN
UPSET
USED
VACUUMED
VANISHED
VISITED
WAITED FOR
WOKEN
WALKED
WANTED
WARMED
WASHED
WATCHED
WAVED
WORN
WED
WEPT
WEIGHED
WHISTLED
WON
WISHED
WITHDRAWN
WONDERED
WORKED
WORRIED
WRAPPED
WRUNG
WRITTEN
YAWNED
